Question,Answer(s),Used?,Category,Points
Which 1968 novel by Philip K. Dick was the basis for the film Blade Runner?,Do Androids Dream of Electric Sheep?,Feb-24,Art & Literature,1
"Friedrich Schiller wrote the lyrics and Beethoven wrote the music for which song, used as the anthem for the European Union?",Ode to Joy,Feb-24,Art & Literature,1
"Boggis, Bunce and Bean from Fantastic Mr Fox farmed five things in total. Name any three of them.","Chicken (Boggis), Duck / Goose (Bunce), Turkey / Apple (Bean)",3-Mar,Art & Literature,3
Which Mexican artist experienced chronic pain for the rest of her life after a bus accident aged 18? She depicted this chronic pain in works such as The Broken Column.,Frida Kahlo,17-Mar,Art & Literature,1
"Ariel delivers the now famous line: ""Hell is empty and all of the devils are here"" to Prospero in which of Shakespeare's plays?",The Tempest,7-Apr,Art & Literature,1
"The quote ""I declare after all there is no enjoyment like reading"" appears on the £10 note and comes from which novel?",Pride and Prejudice,21-Apr,Art & Literature,1
"The famous phrase ""And did those feet in ancient times"" is taken from William Blake's tribute to which other writer, who completed Paradise Lost in 1667?",John Milton,21-Apr,Art & Literature,1
"The Reform Club is both the start and the final destination of which man, who famously set out to limit the time of his journey to just under three months?",Phileas Fogg,21-Apr,Art & Literature,1
"Which 19th-century writer, whose sisters were also writers, wrote Jane Eyre and Villette? First name required.",Charlotte Brontë,5-May,Art & Literature,1
James Wormold is the title character of which novel by Graham Greene? He becomes a spy in Cuba and proceeds to defraud the secret service.,Our Man in Havana,2-Jun,Art & Literature,1
What is the term devised by early anthropologists to refer to the time in Australian Aboriginal mythology when the world was inhabited by ancestral figures of heroic proportions?,The Dreaming [or Dreamtime],,Art & Literature,1
"Although he is better known for two other books, the lesser-known works of which writer include Down and Out in Paris and London, The Road to Wigan Pier, and Homage to Catalonia?",George Orwell,,Art & Literature,1
"William McGonagall wrote a poem about a disaster on which river, the longest in Scotland? It is often called the worst poem of all time, and features lines like ""Alas! I am very sorry to say /
That ninety lives have been taken away"".",Tay,,Art & Literature,1
"Prophet Song, The Promise and The Seven Moons of Maali Almeida are the three most recent winners of which award?",Booker Prize,used,Art & Literature,1
"Which two-word term describes verses which were once taken to be a part of the Quran, but which were later denounced by the Prophet Muhammad? It is also the name of a Salman Rushdie novel for which a fatwa was issued.",Satanic Verses,used,Art & Literature,1
"The Lusiads, written by Luís Camoes and mythologising the exploration of Vasco da Gama, are the national epic of which European country? [make easier]",Portugal,used,Art & Literature,1
"Sam Vimes, Lord Vetinari, and a werewolf called Angua, are all characters who live in Ankh-Morpork in a literary universe created by which person?",Terry Pratchett,used,Art & Literature,1
"Which city fills in the blank in the following novels? [Blank] Dancer, by Cindy Hurst, Goodbye to [Blank], by Christopher Isherwood, and Then We Take [Blank], by John Lawton?",Berlin,,Art & Literature,1
Which Japanese artist rose to prominence when she organised a series of events where naked participants were painted with brightly coloured polka dots? She currently lives in a mental health facility. Yayoi Kusama,Yayoi Kusama,used,Art & Literature,
"What was the famous jazz player Charlie Parker’s nickname? He later released a single called Ornithology, a reference to his nickname.",Bird [or Yardbird] (according to Miles Davis he got the nickname when he got his head stuck in the back of the car eating chicken),Feb-24,Entertainment,1
"The hit I’ll Be Missing You by Diddy was a tribute to which other artist, who got more butt than an ashtray and whose words were known to hypnotise?",The Notorious B.I.G.,3-Mar,Entertainment,1
"Which song was originally recorded for the musical Carousel, but was much more famously recorded by Gerry and the Pacemakers and is now the anthem of a football club in the Northwest of England? ",You'll Never Walk Alone,17-Mar,Entertainment,1
"Which sister and brother pair wrote the song ""What Was I Made For?"" which won the Best Original Song at the 2024 Oscar ceremony?",Billie Eilish and FINNEAS,7-Apr,Entertainment,2
